ID,connection,eigenvector,closeness,betweenness,pagerank
0,0.000492611,1.35E-08,0.050753807,0,0.000284433
1,0.000492611,1.35E-08,0.050753807,0,0.000284433
2,0.000985222,5.51E-07,0.056478313,0.002952752,0.000435376
3,0.001477833,8.76E-08,0.053466077,0.001969958,0.000739726
4,0.001970443,3.59E-06,0.059846698,0.005272817,0.000709107
5,0.001477833,3.51E-06,0.059839642,0.001337757,0.000526471
6,0.001477833,1.09E-06,0.056932915,0.002051587,0.000550173
7,0.000985222,1.70E-07,0.054683081,0.001324547,0.000414312
8,0.000985222,3.57E-08,0.052926607,0.000866977,0.000434715
9,0.000985222,5.82E-08,0.055393347,0.001164819,0.000434574
10,0.000985222,6.63E-06,0.064370878,0.004133503,0.000387201
11,0.000985222,3.35E-07,0.058273051,0.002040728,0.000413927
12,0.001970443,2.13E-06,0.061544992,0.00672085,0.000732043
13,0.001477833,6.73E-06,0.064332119,0.004276177,0.000547302
14,0.000985222,2.20E-05,0.067795478,0.002732424,0.000371595
15,0.000985222,2.04E-05,0.067556325,0.002232257,0.000377046
16,0.001970443,0.000140087,0.071983263,0.004988822,0.000670772
17,0.001477833,3.48E-07,0.058109578,0.001839326,0.000571766
18,0.000985222,6.92E-08,0.055149556,0.00013295,0.000403906
19,0.000985222,6.92E-08,0.055149556,0.00013295,0.000403906
20,0.001477833,9.16E-08,0.057195988,0.000531331,0.000590358
21,0.000985222,4.54E-07,0.060101847,0.00136162,0.000410344
22,0.001477833,2.92E-06,0.063712259,0.00341463,0.000594471
23,0.000985222,5.41E-06,0.06381641,0.001479324,0.00040721
24,0.002955665,8.83E-05,0.070835369,0.007486218,0.001177455
25,0.000985222,8.14E-05,0.070618521,0,0.000391024
26,0.000492611,1.32E-05,0.066151791,0,0.000240871
27,0.000492611,1.32E-05,0.066151791,0,0.000240871
28,0.000492611,1.32E-05,0.066151791,0,0.000240871
29,0.001970443,0.000458139,0.075757576,0.010610364,0.000706621
30,0.000492611,0.000104835,0.070917031,0,0.000219649
31,0.000492611,0.000104835,0.070917031,0,0.000219649
32,0.000492611,0.000104835,0.070917031,0,0.000219649
33,0.000985222,0.000107062,0.070542447,0,0.000352506
34,0.001970443,0.002647682,0.080741389,0.029261174,0.000610302
35,0.00591133,0.000702661,0.076327267,0.018937804,0.002058805
36,0.000492611,0.000104835,0.070917031,0,0.000219649
37,0.000492611,0.000104835,0.070917031,0,0.000219649
38,0.000492611,0.000104835,0.070917031,0,0.000219649
39,0.002463054,0.000605828,0.075718016,0.010306697,0.00078882
40,0.001970443,0.000112401,0.070837841,0.00810798,0.000679677
41,0.000985222,2.00E-05,0.066441921,0,0.000378999
42,0.000492611,3.15E-06,0.062571279,0,0.000234544
43,0.001970443,2.09E-05,0.066745578,0.006469877,0.000757202
44,0.002463054,3.97E-06,0.063192629,0.005076713,0.001044775
45,0.000492611,6.04E-07,0.05943841,0,0.000251965
46,0.000492611,6.04E-07,0.05943841,0,0.000251965
47,0.000985222,6.19E-07,0.05944189,0.000985222,0.000492957
48,0.000492611,9.58E-08,0.056108347,0,0.000282807
49,0.001477833,0.000501822,0.074949234,0.005929281,0.000514049
50,0.003940887,0.000121131,0.069992759,0.006130715,0.00164725
51,0.000492611,1.81E-05,0.065416344,0,0.000250055
52,0.000492611,1.81E-05,0.065416344,0,0.000250055
53,0.000492611,1.81E-05,0.065416344,0,0.000250055
54,0.000492611,1.81E-05,0.065416344,0,0.000250055
55,0.000492611,1.81E-05,0.065416344,0,0.000250055
56,0.000492611,1.81E-05,0.065416344,0,0.000250055
57,0.001477833,0.00020339,0.071135719,0.005366225,0.000568669
58,0.000985222,0.00120971,0.075927588,0.006056229,0.000357834
59,0.002955665,3.79E-05,0.067200742,0.003841626,0.001168992
60,0.000492611,5.66E-06,0.06297112,0,0.0002399
61,0.000492611,5.66E-06,0.06297112,0,0.0002399
62,0.000492611,5.66E-06,0.06297112,0,0.0002399
63,0.000985222,9.36E-06,0.063730261,0,0.000396081
64,0.001477833,0.000128916,0.071637788,0.00307323,0.00052242
65,0.000985222,0.00010854,0.071108309,0.002346108,0.00037583
66,0.001970443,2.46E-05,0.066745578,0.001736884,0.000735449
67,0.000985222,8.75E-06,0.064212058,0.000594153,0.000394049
68,0.000492611,6.98E-11,0.044283502,0,0.000299967
69,0.001477833,3.58E-10,0.046334338,0.001969958,0.000794158
70,0.000492611,6.98E-11,0.044283502,0,0.000299967
71,0.000985222,1.92E-09,0.048579702,0.002952752,0.00050221
72,0.000985222,1.16E-08,0.051051202,0.00393506,0.000474327
73,0.001477833,7.36E-08,0.053784808,0.005899191,0.000664446
74,0.000492611,1.13E-08,0.051040933,0,0.000261761
75,0.001477833,2.85E-06,0.059859051,0.012835349,0.000616118
76,0.000985222,1.37E-08,0.05125486,0.000985222,0.00048622
77,0.000492611,2.20E-09,0.048757055,0,0.000280549
78,0.000985222,1.46E-07,0.05529979,0.002218573,0.000404771
79,0.000985222,3.57E-08,0.052782111,0.00138119,0.000425475
80,0.001970443,4.64E-07,0.056821363,0.01147614,0.000778346
81,0.000492611,4.25E-07,0.056479884,0,0.000248508
82,0.001477833,8.57E-08,0.054019532,0.001969472,0.000614021
83,0.000985222,2.15E-08,0.052529435,0.001279865,0.000422714
84,0.001477833,8.72E-08,0.054381312,0.001935199,0.000592898
85,0.001477833,6.73E-07,0.058149527,0.003094477,0.000529561
86,0.000985222,6.47E-07,0.057991715,0,0.000356238
87,0.001970443,2.66E-06,0.061401651,0.004899462,0.000622763
88,0.002463054,9.36E-06,0.065110013,0.008677328,0.000695121
89,0.001970443,1.03E-05,0.065053677,0.004260513,0.00059967
90,0.000985222,8.27E-06,0.064454675,0,0.000336586
91,0.001970443,4.03E-06,0.061856298,0.001451752,0.00060861
92,0.001477833,1.19E-06,0.061107766,0.001732021,0.000553471
93,0.000492611,2.13E-07,0.057590286,0,0.000230696
94,0.001477833,6.89E-06,0.063782323,0.00136734,0.000544204
95,0.001477833,2.71E-06,0.063706261,0.00217136,0.000544473
96,0.002463054,9.77E-06,0.066835676,0.005868148,0.000938418
97,0.000985222,5.27E-05,0.070439641,0.006199122,0.000378251
98,0.000492611,1.47E-06,0.062650454,0,0.000233438
99,0.000492611,2.27E-07,0.058961922,0,0.000270909
100,0.000985222,1.50E-06,0.062654321,0.000985222,0.000463796
101,0.001477833,0.000344415,0.075082295,0.012899778,0.00051088
102,0.003448276,7.15E-05,0.071115782,0.006092254,0.001027864
103,0.002955665,2.92E-05,0.068467739,0.00982833,0.000784428
104,0.002463054,2.96E-05,0.067680203,0.000413036,0.000665879
105,0.001970443,3.20E-05,0.068127664,0.000816245,0.000543613
106,0.001477833,9.24E-06,0.06462087,0.000236831,0.000427326
107,0.001477833,1.66E-05,0.067162945,0.000502666,0.000438279
108,0.001970443,2.34E-05,0.067076394,0.000283243,0.000557998
109,0.002463054,2.86E-05,0.067766057,0.004506968,0.000718278
110,0.001970443,6.04E-06,0.063730261,0.002908708,0.000760422
111,0.000985222,9.27E-05,0.070941814,0.003740072,0.000328208
112,0.000492611,1.01E-06,0.059913819,0,0.000235795
113,0.000492611,1.01E-06,0.059913819,0,0.000235795
114,0.001477833,6.76E-06,0.064246606,0.001387778,0.000581988
115,0.000985222,6.02E-06,0.064011604,0.000476843,0.000404122
116,0.001970443,3.25E-05,0.067182949,0.003335977,0.000816661
117,0.001477833,0.000202269,0.071165644,0.004275284,0.000558897
118,0.000985222,0.001209527,0.075853823,0.004942622,0.000355411
119,0.001477833,0.000119561,0.069855471,0.0012445,0.000562357
120,0.001970443,0.002639091,0.080326053,0.014531448,0.000583478
121,0.001970443,0.000584193,0.074816644,0.001876298,0.000623406
122,0.002463054,0.000592199,0.075132314,0.00542315,0.000778647
123,0.000985222,8.83E-05,0.06972351,0.005022505,0.000390457
124,0.001970443,0.000580142,0.074786325,0.005979434,0.00062842
125,0.000985222,1.34E-05,0.065407913,0.004093084,0.000430178
126,0.000985222,2.05E-06,0.06184876,0.003208223,0.000448757
127,0.001477833,3.33E-07,0.058746925,0.002522064,0.000676099
128,0.000985222,5.11E-08,0.055491772,0.000985222,0.000514444
129,0.000492611,7.75E-09,0.052575691,0,0.000292213
130,0.000985222,1.21E-07,0.056122308,0.000427368,0.000455903
131,0.000985222,4.74E-07,0.058886665,0.000996938,0.000446339
132,0.000492611,1.78E-05,0.065296407,0,0.000233468
133,0.000492611,8.81E-05,0.069884329,0,0.000206211
134,0.000492611,1.30E-08,0.051006307,0,0.000274908
135,0.000492611,1.30E-08,0.051006307,0,0.000274908
136,0.001477833,8.47E-08,0.05374636,0.001969958,0.000708009
137,0.001477833,5.34E-07,0.05679116,0.002952752,0.000592879
138,0.001970443,2.95E-06,0.059966915,0.007604432,0.000734602
139,0.001477833,5.35E-07,0.057078588,0.001416635,0.000570603
140,0.000985222,8.97E-08,0.054986727,0.000729167,0.00040705
141,0.001970443,5.66E-08,0.05528473,0.002373153,0.000805615
142,0.000985222,4.52E-07,0.05707217,0.001134716,0.000407802
143,0.000985222,7.70E-08,0.05498077,0.000447249,0.000418607
144,0.000492611,8.97E-09,0.052389801,0,0.000245244
145,0.000985222,1.91E-07,0.058073006,0.003134714,0.000407221
146,0.001970443,1.21E-06,0.061240497,0.006456602,0.000761652
147,0.000985222,6.48E-06,0.064041895,0.005655875,0.00039526
148,0.001477833,7.39E-08,0.056826134,0.001475315,0.00065699
149,0.000985222,1.89E-07,0.05787763,0.001189917,0.000422702
150,0.000985222,4.04E-08,0.054982259,0.000516972,0.000439586
151,0.000492611,1.15E-08,0.053771986,0,0.000260013
152,0.001477833,7.13E-06,0.063626391,0.001576377,0.000520905
153,0.001477833,2.83E-06,0.063065022,0.003007417,0.000537686
154,0.000985222,1.78E-06,0.062419285,0.000492368,0.000385496
155,0.002955665,1.14E-05,0.06656829,0.007336425,0.000995129
156,0.000985222,5.32E-07,0.058757128,2.43E-07,0.000401489
157,0.001477833,5.27E-05,0.069905988,0.007982794,0.000522399
158,0.001477833,1.03E-05,0.066404972,0.001380365,0.000514275
159,0.000985222,1.78E-06,0.062419285,0.000492368,0.000385496
160,0.000985222,5.10E-06,0.063475188,0.001047988,0.000356415
161,0.001477833,2.37E-05,0.067149615,0.001531597,0.000482932
162,0.000985222,0.000332983,0.074212181,0.00878504,0.000380623
163,0.001970443,4.26E-05,0.067599068,0.003742834,0.00061764
164,0.000985222,6.59E-06,0.064007567,0.00253216,0.000372487
165,0.002463054,0.000144217,0.071559504,0.004182419,0.000718324
166,0.000985222,3.81E-05,0.066899552,1.65E-05,0.000322418
167,0.001970443,0.000110333,0.070867516,0.003709622,0.000594868
168,0.002955665,0.000635658,0.075487134,0.008530517,0.000818877
169,0.000985222,1.18E-06,0.061083862,0.001791219,0.000394217
170,0.000985222,9.02E-05,0.069781032,0.003225181,0.000383646
171,0.001970443,0.002651387,0.080485291,0.015566049,0.000555766
172,0.002463054,0.000609225,0.074863549,0.001855182,0.000749845
173,0.000985222,0.000127025,0.069850664,7.71E-05,0.00033793
174,0.001477833,0.000244625,0.071300622,0.000203926,0.000482308
175,0.002463054,0.000263979,0.07172638,0.002163799,0.000779821
176,0.001970443,0.000166021,0.071013783,0.001449065,0.000582403
177,0.001477833,7.06E-05,0.067872547,0.000657033,0.000486543
178,0.000492611,6.57E-06,0.063445431,0,0.000230253
179,0.000985222,1.38E-05,0.06545009,0.002294774,0.000429125
180,0.000985222,2.11E-06,0.061892131,0.001408716,0.000453344
181,0.000985222,3.34E-07,0.058786054,0.000566446,0.000462247
182,0.000985222,1.21E-07,0.056229572,0.000292997,0.000462312
183,0.000985222,4.75E-07,0.058937955,0.000852455,0.000449551
184,0.001970443,0.000592709,0.074863549,0.004184052,0.000598292
185,0.000492611,9.07E-05,0.069651741,0,0.000201311
186,0.001477833,0.001255118,0.076098366,0.003784282,0.000466611
187,0.000492611,3.93E-05,0.066928225,0,0.000206401
188,0.001477833,5.20E-07,0.056772101,0.001739966,0.000566512
189,0.000985222,8.04E-08,0.053970702,0.000853972,0.000418056
190,0.001477833,2.87E-06,0.05998109,0.005076329,0.000551012
191,0.000985222,1.39E-08,0.051964674,0.000138593,0.000432077
192,0.000985222,8.56E-08,0.054804136,0.00093132,0.000400192
193,0.001477833,4.62E-08,0.055065781,0.002194933,0.000590932
194,0.001477833,5.20E-07,0.057040097,0.001646699,0.000560582
195,0.000985222,9.49E-09,0.052199851,0.000268871,0.000425057
196,0.000985222,2.05E-07,0.057816639,0.002998214,0.000391824
197,0.000985222,7.68E-06,0.06371026,0,0.000368091
198,0.001477833,7.85E-06,0.063892736,0.00705835,0.000525997
199,0.000985222,2.95E-07,0.058154525,0.001354938,0.000389293
200,0.002463054,1.31E-06,0.060948149,0.007779787,0.000884784
201,0.000985222,2.06E-07,0.057454998,0.0007046,0.000404508
202,0.000985222,4.85E-08,0.054965883,0.000112189,0.00042351
203,0.000985222,1.05E-07,0.057136424,0.000391839,0.000419019
204,0.001477833,6.18E-07,0.06058978,0.002805477,0.000581545
205,0.000985222,3.62E-06,0.063504974,0.003490342,0.000387537
206,0.001477833,2.33E-05,0.067100783,0.004882053,0.00052427
207,0.001477833,4.13E-05,0.067574315,0.000224392,0.000457284
208,0.001477833,3.68E-05,0.067103001,0.000971113,0.000474168
209,0.000985222,4.92E-06,0.063210338,0.000124089,0.000387607
210,0.000985222,9.35E-06,0.065877008,0.000463537,0.000387728
211,0.001477833,5.77E-05,0.0703079,0.002575766,0.000528163
212,0.001477833,0.000341676,0.074489946,0.01139864,0.000544925
